date,tic,F_debt,stock_price,shares,Tbill
2020-01-31,META,500,201.91,2405.746,1.53
2020-02-28,META,500,192.47,2405.746,1.41
2020-03-31,META,6103,166.8,2406,0.33
2020-04-30,META,6103,204.71001,2404.552,0.18
2020-05-29,META,6103,225.09,2408.468,0.16
2020-06-30,META,6103,227.07001,2406,0.18
2020-07-31,META,6103,253.67,2404.282,0.15
2020-08-31,META,6103,293.20001,2404.282,0.13
2020-09-30,META,6103,261.89999,2406,0.13
2020-10-30,META,6103,263.10999,2403.969,0.13
2020-11-30,META,6103,276.97,2403.969,0.12
2020-12-31,META,6103,273.16,2406,0.1
2021-01-29,META,6103,258.32999,2405.448,0.1
2021-02-26,META,6103,257.62,2405.448,0.07
2021-03-31,META,6127,294.53,2401.218,0.08
2021-04-30,META,6127,325.07999,2396.047,0.06
2021-05-28,META,6127,328.73001,2396.047,0.05
2021-06-30,META,6127,347.70999,2389,0.07
2021-07-30,META,6127,356.29999,2383.812,0.08
2021-08-31,META,6127,379.38,2383.812,0.07
2021-09-30,META,6127,339.39001,2376,0.08
2021-10-29,META,6127,323.57001,2366.278,0.11
2021-11-30,META,6127,324.45999,2366.278,0.18
2021-12-31,META,6127,336.35001,2328,0.3
2022-01-31,META,6127,313.26001,2309.08,0.55
2022-02-28,META,6127,211.03,2309.08,1
2022-03-31,META,7828,222.36,2302.151,1.34
2022-04-29,META,7828,200.47,2293.519,1.89
2022-05-31,META,7828,193.64,2293.519,2.06
2022-06-30,META,7828,161.25,2290,2.65
2022-07-29,META,7828,159.10001,2280.672,3.02
2022-08-31,META,7828,162.92999,2280.672,3.28
2022-09-30,META,7828,135.67999,2262,3.89
2022-10-31,META,7828,93.16,2248.672,4.43
2022-11-30,META,7828,118.1,2248.672,4.73
2022-12-30,META,7828,120.34,2248.672,4.68
